"","gene_short_name","feature"
"PITHD1","PITHD1","NA"
"LYPLA2","LYPLA2","NA"
"GALE","GALE","NA"
"HMGCL","HMGCL","NA"
"FUCA1","FUCA1","NA"
"CNR2","CNR2","NA"
"AL590609.3","AL590609.3","NA"
"PNRC2","PNRC2","NA"
"SRSF10","SRSF10","NA"
"AL591178.1","AL591178.1","NA"
"MYOM3","MYOM3","NA"
"AL591178.2","AL591178.2","NA"
"IL22RA1","IL22RA1","NA"
"IFNLR1","IFNLR1","NA"
"AL590683.1","AL590683.1","NA"
"AL138902.1","AL138902.1","NA"
"GRHL3","GRHL3","NA"
"STPG1","STPG1","NA"
"NIPAL3","NIPAL3","NA"
"RCAN3","RCAN3","NA"
"AL445686.2","AL445686.2","NA"
"NCMAP","NCMAP","NA"
"SRRM1","SRRM1","NA"
"AL445648.1","AL445648.1","NA"
"CLIC4","CLIC4","NA"
"RUNX3","RUNX3","NA"
"AL445471.1","AL445471.1","NA"
"AL445471.2","AL445471.2","NA"
"AL050344.1","AL050344.1","NA"
"AL031432.1","AL031432.1","NA"
"SYF2","SYF2","NA"
"AL031432.5","AL031432.5","NA"
"RSRP1","RSRP1","NA"
"AL031432.3","AL031432.3","NA"
"RHD","RHD","NA"
"TMEM50A","TMEM50A","NA"
"RHCE","RHCE","NA"
"MACO1","MACO1","NA"
"LDLRAP1","LDLRAP1","NA"
"AL606491.1","AL606491.1","NA"
"MAN1C1","MAN1C1","NA"
"AL031280.1","AL031280.1","NA"
"SELENON","SELENON","NA"
"AL020996.2","AL020996.2","NA"
"AL020996.1","AL020996.1","NA"
"MTFR1L","MTFR1L","NA"
"AL020996.3","AL020996.3","NA"
"AUNIP","AUNIP","NA"
"AL033528.2","AL033528.2","NA"
"PAQR7","PAQR7","NA"
"STMN1","STMN1","NA"
"PAFAH2","PAFAH2","NA"
"EXTL1","EXTL1","NA"
"SLC30A2","SLC30A2","NA"
"TRIM63","TRIM63","NA"
"PDIK1L","PDIK1L","NA"
"FAM110D","FAM110D","NA"
"C1orf232","C1ORF232","NA"
"AL391650.1","AL391650.1","NA"
"ZNF593","ZNF593","NA"
"CNKSR1","CNKSR1","NA"
"CATSPER4","CATSPER4","NA"
"CEP85","CEP85","NA"
"SH3BGRL3","SH3BGRL3","NA"
"UBXN11","UBXN11","NA"
"CD52","CD52","NA"
"CRYBG2","CRYBG2","NA"
"ZNF683","ZNF683","NA"
"LIN28A","LIN28A","NA"
"DHDDS","DHDDS","NA"
"AL513365.2","AL513365.2","NA"
"HMGN2","HMGN2","NA"
"RPS6KA1","RPS6KA1","NA"
"AL512408.1","AL512408.1","NA"
"ARID1A","ARID1A","NA"
"PIGV","PIGV","NA"
"ZDHHC18","ZDHHC18","NA"
"SFN","SFN","NA"
"AL034380.1","AL034380.1","NA"
"GPN2","GPN2","NA"
"GPATCH3","GPATCH3","NA"
"NUDC","NUDC","NA"
"NR0B2","NR0B2","NA"
"KDF1","KDF1","NA"
"TRNP1","TRNP1","NA"
"TENT5B","TENT5B","NA"
"SLC9A1","SLC9A1","NA"
"AL590640.1","AL590640.1","NA"
"WDTC1","WDTC1","NA"
"TMEM222","TMEM222","NA"
"SYTL1","SYTL1","NA"
"MAP3K6","MAP3K6","NA"
"FCN3","FCN3","NA"
"CD164L2","CD164L2","NA"
"GPR3","GPR3","NA"
"WASF2","WASF2","NA"
"FO393419.2","FO393419.2","NA"
"BX293535.1","BX293535.1","NA"
"AHDC1","AHDC1","NA"
"FGR","FGR","NA"
"LINC02574","LINC02574","NA"
"IFI6","IFI6","NA"
"AL445490.1","AL445490.1","NA"
"FAM76A","FAM76A","NA"
"STX12","STX12","NA"
"PPP1R8","PPP1R8","NA"
"THEMIS2","THEMIS2","NA"
"RPA2","RPA2","NA"
"SMPDL3B","SMPDL3B","NA"
"AL512288.1","AL512288.1","NA"
"XKR8","XKR8","NA"
"EYA3","EYA3","NA"
"PTAFR","PTAFR","NA"
"DNAJC8","DNAJC8","NA"
"ATP5IF1","ATP5IF1","NA"
"AL353622.1","AL353622.1","NA"
"AL353622.2","AL353622.2","NA"
"SESN2","SESN2","NA"
"MED18","MED18","NA"
"PHACTR4","PHACTR4","NA"
"RCC1","RCC1","NA"
"TRNAU1AP","TRNAU1AP","NA"
"SNHG12","SNHG12","NA"
"TAF12","TAF12","NA"
"RAB42","RAB42","NA"
"LINC01715","LINC01715","NA"
"AL360012.1","AL360012.1","NA"
"GMEB1","GMEB1","NA"
"YTHDF2","YTHDF2","NA"
"OPRD1","OPRD1","NA"
"AL009181.1","AL009181.1","NA"
"EPB41","EPB41","NA"
"TMEM200B","TMEM200B","NA"
"AL357500.1","AL357500.1","NA"
"SRSF4","SRSF4","NA"
"MECR","MECR","NA"
"AL590729.1","AL590729.1","NA"
"PTPRU","PTPRU","NA"
"LINC01756","LINC01756","NA"
"AC092265.1","AC092265.1","NA"
"AL645944.2","AL645944.2","NA"
"LINC01648","LINC01648","NA"
"AL137076.1","AL137076.1","NA"
"AL161638.2","AL161638.2","NA"
"AL161638.1","AL161638.1","NA"
"MATN1","MATN1","NA"
"MATN1.AS1","MATN1-AS1","NA"
